Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-09-15,135.47186782200635,136.42844916955528,135.08143679026455,135.31570434570312,4046500,0.0,0
2020-09-16,136.23321602487573,136.81886249670475,134.31031290969656,134.4079132080078,6049900,0.0,0
2020-09-17,133.7832144785004,134.58361735084833,132.93401890407188,134.2322235107422,4648500,0.0,0
2020-09-18,133.63680603449106,134.63240949903982,133.00233707619418,134.08580017089844,10192800,0.0,0
2020-09-21,133.7246495785947,134.18341416647817,131.4796342346092,133.44158935546875,7092600,0.0,0
2020-09-22,133.226840545796,135.70610838153476,132.98281747600342,134.6616973876953,4722800,0.0,0
2020-09-23,135.11070294020362,135.11070294020362,132.8364059498112,133.0511474609375,6373700,0.0,0
2020-09-24,133.4025528162185,133.87107302001212,132.46551240863124,133.64657592773438,5708200,0.0,0
2020-09-25,132.64118320224884,134.69098300763082,132.64118320224884,134.32981872558594,4969900,0.0,0
2020-09-28,135.24734874702028,136.5943609074341,134.48599793304382,134.7104949951172,5810800,0.0,0
2020-09-29,135.08142852451667,135.11071010540607,133.3927928192782,133.9784393310547,4492100,0.0,0
2020-09-30,134.85691011895096,136.50650842019968,134.51527187060287,135.6670684814453,8727800,0.0,0
2020-10-01,136.24297011477213,136.64317154729056,134.90572837985454,135.91110229492188,5713400,0.0,0
2020-10-02,134.63241116355474,135.7939634472095,133.67584482748086,134.81787109375,6077900,0.0,0
2020-10-05,135.40353029690115,136.31128902198003,134.99357330228617,136.05751037597656,6333900,0.0,0
2020-10-06,136.08680263146385,137.40453334852913,135.4913856629068,136.2722625732422,6042900,0.0,0
2020-10-07,136.7310243810233,138.0097030345201,136.0379922277146,137.33619689941406,4640900,0.0,0
2020-10-08,137.19955157986286,138.5367934624004,137.00433606981184,138.26348876953125,4569800,0.0,0
2020-10-09,138.44894644201796,140.20591579158437,138.31229409782884,139.5031280517578,6551700,0.0,0
2020-10-12,139.90331283983068,141.8554974634622,139.90331283983068,141.03558349609375,5791500,0.0,0
