Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-09-15,205.53979931486634,206.9912599531571,203.57139339233828,204.18775939941406,6328600,0.0,0
2020-09-16,205.52985197751602,206.53393447714117,203.75032125534796,203.9292755126953,6135000,0.0,0
2020-09-17,201.66263336033336,204.3766491893348,200.81760272661552,204.06846618652344,7474900,0.0,0
2020-09-18,204.26730160986764,204.51583825803561,200.53925188734775,201.42404174804688,9084100,0.0,0
2020-09-21,198.73984244155287,200.07199519122096,193.56033218961215,196.2942352294922,9656000,0.0,0
2020-09-22,196.93048888209375,199.53516319051835,195.64804649131585,199.3860321044922,7543100,0.0,0
2020-09-23,199.6246336582545,199.91292948807427,193.43110479420406,194.22640991210938,6310600,0.0,0
2020-09-24,194.00768952577542,196.51294303223756,191.9995244544621,194.3755340576172,9865300,0.0,0
2020-09-25,193.8784554923527,196.9801877311588,192.37728456258114,196.09539794921875,5496100,0.0,0
2020-09-28,199.4556286844187,200.53924479141466,198.66030840452834,199.14744567871094,5565300,0.0,0
2020-09-29,199.40592477202185,201.19539166728367,198.20300072397907,198.27259826660156,5513500,0.0,0
2020-09-30,199.6743227339388,201.35441751045678,197.72578899606228,198.79946899414062,9157600,0.0,0
2020-10-01,201.02638724714004,203.99887582220427,200.45971641341492,202.1597137451172,7234600,0.0,0
2020-10-02,198.82931629402455,201.64275293992176,198.23282227735328,200.28077697753906,6019700,0.0,0
2020-10-05,201.52344353212354,202.45792849903717,199.87315670273964,202.34857177734375,6090500,0.0,0
2020-10-06,202.91525236690632,203.8994629096984,198.54101362677525,199.27667236328125,5841100,0.0,0
2020-10-07,200.81760098707716,201.60297007874593,198.81937190361182,201.28485107421875,6713400,0.0,0
2020-10-08,202.80590388406029,203.10415089425499,201.0462601764373,201.7918701171875,3955600,0.0,0
2020-10-09,202.80590405261006,205.86787736550582,202.48776986294516,205.43045043945312,5562900,0.0,0
2020-10-12,205.72866580742513,206.75263542252176,204.5257419457981,205.1918182373047,6622700,0.0,0
2020-10-13,202.18952328531213,204.00881322999177,201.84156593691128,203.1240234375,5621700,0.0,0
2020-10-14,203.51175131865375,203.7702239662238,199.9527047724813,201.0164337158203,5320000,0.0,0
2020-10-15,199.83338818538482,203.5017913017954,196.4433600528026,198.38194274902344,8885500,0.0,0
2020-10-16,198.8193751654174,201.46379347517876,198.24276834268778,199.08778381347656,6385900,0.0,0
