Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-09-15,278.9329962759384,284.640781079574,278.40412943453515,283.77264404296875,353800,0.0,0
2020-09-16,284.7705408080591,287.1953439358255,279.81115363579545,280.6792907714844,653000,0.0,0
2020-09-17,278.05489409197446,278.49395684067446,270.6906503416193,274.3727722167969,879700,0.0,0
2020-09-18,275.0313617663099,282.0862698880916,274.39274443034975,277.1368713378906,1612200,0.0,0
2020-09-21,274.6920829096214,276.82752712584903,269.1040367467957,276.2487487792969,669600,0.0,0
2020-09-22,276.588049439752,277.3364477461278,269.9323108883966,276.4483642578125,597300,0.0,0
2020-09-23,275.8296423107486,275.8296423107486,266.52954043066205,267.7269592285156,449400,0.0,0
2020-09-24,266.4297748477941,268.50531924530407,261.37059541008523,263.07696533203125,494300,0.0,0
2020-09-25,260.7120247546227,269.5032078149323,260.4924933652177,268.9344482421875,414200,0.0,0
2020-09-28,271.3891416719955,275.7098804815116,269.42334787863683,271.8082580566406,378600,0.0,0
2020-09-29,273.39489457507625,276.5481496791588,272.9059203198467,273.0655822753906,248200,0.0,0
2020-09-30,273.19526316415954,277.20666633971604,271.9878559924511,274.3128662109375,477600,0.0,0
2020-10-01,278.1646776427322,279.9009518775242,273.9636467779487,275.2010192871094,398100,0.0,0
2020-10-02,273.2551788477338,275.8396439441035,269.94226178927835,273.2651672363281,281200,0.0,0
2020-10-05,275.2109852018516,287.4647586315471,274.6621719710637,287.0257263183594,873600,0.0,0
2020-10-06,286.7363444833788,294.75918287147175,286.0677619292022,289.7099609375,722600,0.0,0
2020-10-07,291.32648273761123,294.4697490645089,291.0071588659999,292.0848388671875,439100,0.0,0
2020-10-08,292.9529920363953,294.2502339166182,288.9515768430949,290.6379699707031,368300,0.0,0
2020-10-09,292.184685640047,298.072079773772,291.79553434183373,297.64300537109375,305100,0.0,0
2020-10-12,299.359319034942,301.39497093105297,297.36359024137573,301.0157775878906,324700,0.0,0
2020-10-13,299.35933264862064,302.4926416141644,298.3814145324356,298.8404541015625,302100,0.0,0
2020-10-14,298.39137595555985,298.39137595555985,286.51679625743566,287.53460693359375,568600,0.0,0
2020-10-15,285.42910795383796,291.266620098188,281.9066482539579,290.7477111816406,341400,0.0,0
2020-10-16,292.9330452485951,295.00862007270047,290.4184381430389,291.4362487792969,298600,0.0,0
2020-10-19,292.3742470086778,294.9487235662159,283.7227499182718,285.4490661621094,373000,0.0,0
2020-10-20,286.2373992249936,291.17680956089265,284.6408101503218,286.36712646484375,337400,0.0,0
2020-10-21,286.5866532249667,289.8895817840936,279.46188715567456,283.8125915527344,336000,0.0,0
